Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.7167282,-1.7059035,-1.9646115,-2.0924592,-1.9339966
Afghanistan,AFG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.65566449999999,-1.7202682,-1.8586889,-1.89680499999999,-1.93548869999999
Afghanistan,AFG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.5896897,-2.4506389,-2.4492487,-2.3922828,-2.2052112
Albania,ALB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.0187103,0.1116368,0.1929668,0.293429,0.3123437
Albania,ALB,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.256738199999999,-0.2015586,-0.1309656,-0.153011099999999,-0.1185025
Albania,ALB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0049854,0.0239536,0.0115425,0.0246567,0.0204668
Algeria,DZA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.2693237,-0.4641151,-0.2671351,-0.355560999999999,-0.2511914
Algeria,DZA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.7746944,-0.7553319,-0.798385,-0.7329544,-0.6967772
Algeria,DZA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.883733299999999,-0.9009933,-0.8074555,-0.7317401,-0.6935882
American Samoa,ASM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7650002,0.7679093,0.7674713,0.7690129,0.767382
American Samoa,ASM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.2020006,1.1954792,1.1914695,1.1903787,1.0865813
American Samoa,ASM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2465402,1.2442687,1.2481785,1.2488142,1.2530285
Andorra,AND,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.7976151,1.8005243,1.1591046,1.1602754,1.1590368
Andorra,AND,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.6193172,1.61332,1.4108315,1.4100336,1.4099048
Andorra,AND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.5484064,1.5465903,1.5497163,1.5502246,1.5437957
Angola,AGO,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.0163604,-0.9347008,-0.8325718,-0.8287026,-0.785190899999999
Angola,AGO,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.9475038,-1.0980135,-1.1625439,-1.1944432,-1.1697408
Angola,AGO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.6427634,-0.7936068,-0.5414068,-0.3131654,-0.5735964
Anguilla,AIA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7650002,0.7679093,1.1116761,1.1132177,1.1115868
Anguilla,AIA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.4217835,0.4132015,0.4079249,0.6332641,0.6330323
Anguilla,AIA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.3857911,1.3836197,1.3873573,1.387965,1.3802784
Antigua and Barbuda,ATG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.6118196,-0.6089105,-0.0927924,0.4312085,0.4299698
Antigua and Barbuda,ATG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.5899858,0.5666971,0.6200291,0.6185054,0.6017732
Antigua and Barbuda,ATG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9164728,0.9147636,1.0787211,1.0791994,1.0731489
Argentina,ARG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.148927,0.1125651,0.1085858,0.0614731,0.1837479
Argentina,ARG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.290549699999999,-0.303899,-0.2913485,-0.237773799999999,-0.2513801
Argentina,ARG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0552501,0.0921998,0.0576438,-0.0207671,-0.169745999999999
Armenia,ARM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.3375702,-0.3553578,-0.3306901,-0.163441,-0.3640294
Armenia,ARM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.0751786,-0.1028405,-0.2386468,-0.2107914,-0.1423943
Armenia,ARM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2935835,-0.5019,-0.3556235,-0.5022441,-0.723297299999999
Aruba,ABW,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.9047216,0.9064944,1.0084741,0.6576186,0.6567856
Aruba,ABW,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.2938144,1.2183341,1.2205245,1.2201246,1.22006
Aruba,ABW,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.3345061,1.3328137,1.3357267,1.3362003,1.3302095
Australia,AUS,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.6054566,1.7024874,1.7675146,1.7818134,1.8090452
Australia,AUS,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.5521387,1.5701838,1.471946,1.5031839,1.4704014
Australia,AUS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8859397,0.8536507,0.9015353,0.9254365,0.7932693
Austria,AUT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.9079985,1.8163061,1.7373291,1.5790569,1.5145106
Austria,AUT,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.7481079,1.7167011,1.6419642,1.6577235,1.6777399
Austria,AUT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8186312,0.7543747,0.6005165,0.7016405,0.4915979
