Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,97.7,85.3,85.3,..,..
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,72.1820710205908,74.5545259961346,76.9392075646596,78.926564391722,80.8324374493852,..
Afghanistan,AFG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,48.9056813120247,50.2966403259731,51.6914397704169,53.0909369400519,54.4957993646086,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.0680381522002,95.0815150513051,95.0945651327655,95.107207538325,95.1194270680062,..
Albania,ALB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.298792439378,99.2990351357274,99.2992678183537,99.2994944120586,99.2997151439025,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.8,100,100,..,..
Algeria,DZA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.1378242692677,92.273231858432,92.3236727252335,92.3726404744191,92.4200285933986,..
Algeria,DZA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,85.9654731245039,85.7843029485606,85.8262858406741,85.8670433970582,85.9064861325463,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.7427169210217,99.9781289242709,100,100,100,..
American Samoa,ASM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,62.1354996547904,62.1275988186987,62.119697982607,62.119697982607,62.119697982607,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Andorra,AND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9999952180714,100,99.9999963147646,100,100,..
Andorra,AND,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.9999952180714,100,99.9999963147646,100,100,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,47,48.2,48.5,51.1,..,..
Angola,AGO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,64.9440305436538,65.716257719435,66.47632731978,67.2244252588497,67.9607422242112,..
Angola,AGO,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,49.8016376564917,50.0511353702384,50.2951359158799,..,..,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Antigua and Barbuda,ATG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.9224941519798,98.9226250605056,98.9227120997739,98.9227464138028,98.9227269324043,..
Antigua and Barbuda,ATG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.6041813873018,99.6050402706189,99.605594345624,99.6058209466968,99.6057190215246,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Argentina,ARG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..
Argentina,ARG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Armenia,ARM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.4561137881716,99.4534764633698,99.9128544293373,99.9222036184019,99.9315721509168,..
Armenia,ARM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,92.7619845664061,93.0320229848765,93.3068358390677,93.5674537130871,93.6649426520095,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,99.9,100,..,..
Aruba,ABW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..
Aruba,ABW,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,98.7611928125653,98.8005972638482,98.8400017151311,98.8400017151311,98.8400017151311,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Australia,AUS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9698157102474,99.9697732704149,99.9697269040604,99.9696841388095,99.9696359649334,..
Australia,AUS,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,100,100,100,100,100,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Austria,AUT,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9999975918171,100,99.999997328228,100,99.9999971947745,..
Austria,AUT,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.9726022326155,99.9724908948366,99.9723650796655,99.9722421586423,99.9721024074429,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Azerbaijan,AZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.1597003364215,95.0977447085139,96.0035655798849,96.8490385896936,97.6880841665339,..
Azerbaijan,AZE,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,94.4852164889199,95.8663117734363,96.9106527966691,97.9482163589564,98.9785069136854,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
"Bahamas, The",BHS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..
"Bahamas, The",BHS,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Bahrain,BHR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9198990209829,99.9198990209829,99.9198990209829,99.9198990209829,99.9198990209829,..
Bahrain,BHR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,100,100,100,100,100,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.2,99,99.4,99.5,..,..
Bangladesh,BGD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.2725719690138,98.4379436580879,98.5792972461401,98.6816683567859,98.7825421934741,..
Bangladesh,BGD,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,59.7111659386902,61.6770898454809,63.6502711298232,65.6304136319171,67.6171751221237,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Barbados,BRB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.0199303950083,99.0674985116994,99.1150666283904,99.1626347450814,99.1626347450814,..
Barbados,BRB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,97.3312392700884,97.3330327442074,98.0924623115578,98.0924623115578,98.0924623115578,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Belarus,BLR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.2623480849323,99.3932172039885,99.8584120587223,99.8755846398108,99.8924920429612,..
Belarus,BLR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.5940049296976,99.6591219571066,99.6897638568081,99.7199437262096,99.7473526999237,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Belgium,BEL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,99.9999987625062,100,99.9999973101139,100,..
Belgium,BEL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.4862025266725,99.486206436114,99.4862152277247,99.4862165648512,99.486220664134,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.8,97.7,98.6,99.6,..,..
Belize,BLZ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.3918809907388,94.6148163127858,94.7220374936113,94.8298821080115,94.8473253067341,..
Belize,BLZ,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,84.1193982319828,84.1586414948366,84.2021316466722,84.2497280854857,84.3017658171591,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,41,42,56.5,57,..,..
Benin,BEN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,68.3129505616936,68.6381245479094,68.9589815769274,69.2752913846942,69.5868397867067,..
Benin,BEN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,19.501704357901,20.1721169387367,20.853650768615,21.5460291941212,22.248968702791,..
