Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,gdp_per_capita_normalised,life_expectancy_normalised,secondary_enrollment_normalised,electricity_access_normalised,drinking_water_access_normalised,sanitation_access_normalised,government_effectiveness_normalised,political_stability_normalised,rule_of_law_normalised,forest_area_normalised,renewable_energy_normalised,inflation_normalised,unemployment_rate_normalised,pm25_exposure_normalised
Afghanistan,AFG,413.757894705303,-6.60118564073725,13.687,66.289,59.6136016845703,85.3,80.8324374493852,54.4957993646086,-1.9339966,-2.2052112,-1.93548869999999,1.85278199408184,46.0870936659706,20.0,0.0006752787111666763,0.3657648609629026,0.3625399429763049,0.8446088794926003,0.7019905441594649,0.4923801576180781,0.05364419311642705,0.12586273559441322,0.06387006795174587,0.019617039686572232,0.20768431983385255,0.9754682757943789,0.607191493060586,0.4865590359672143
Albania,ALB,11377.7757431099,2.21587375089991,10.689,79.776,108.355392456055,100.0,95.1194270680062,99.2997151439025,0.3123437,0.0204668,-0.1185025,28.7919708029197,15.7070036417042,41.9,0.03877362232930439,0.7890590672274181,0.6766003712879683,1.0,0.9241188398466,0.9921880071881061,0.5581594370732343,0.6395299804780515,0.4937509583376482,0.30484602921424775,0.43509865005192105,0.9374933221846182,0.6940573117376062,0.8652348891353813
Algeria,DZA,5752.99076651465,4.04611455313434,11.655,76.475,105.164131811213,100.0,92.4200285933986,85.9064861325463,-0.2511914,-0.6935882,-0.6967772,0.830314224054683,25.5526558310447,0.1,0.01922832481342638,0.685456029125604,0.6560379613085718,1.0,0.8821496917929378,0.8427805084342025,0.4315926615696636,0.47473225837027755,0.3569369071777429,0.008791270175138947,0.001038421599169263,0.9296105002059586,0.6660678584881059,0.7425127135322965
American Samoa,ASM,18017.4589383973,3.117463837096035,5.1895,72.992,92.65956406180274,100.0,100.0,62.119697982607,0.767382,1.2530285,1.0865813,85.2,6.71514739512663,0.4,0.061845541345419724,0.5761408574477436,0.5754666519440108,1.0,1.0,0.5774281786966887,0.660358448921168,0.9239945672637832,0.7788618177011534,0.9020876641907432,0.004153686396677052,0.93361018607568,0.8534030655115464,0.9773148346858551
Andorra,AND,49303.6491674336,3.117463837096035,5.1895,84.188,101.923820495605,100.0,100.0,100.0,1.1590368,1.5437957,1.4099048,34.0425531914894,9.08028059086901,18.7,0.17056043421853662,0.9275312284225724,0.6351595006788829,1.0,1.0,1.0,0.7483218874833727,0.9911011237946605,0.8553569468676198,0.3604385832347394,0.1941848390446521,0.93361018607568,0.8534030655115464,0.94783438120337
Angola,AGO,2665.87444776753,28.2404948915772,14.02,64.805,51.4839046246776,51.1,67.9607422242112,92.9912822357176,-0.785190899999999,-0.5735964,-1.1697408,52.0912696719339,25.1452381976267,52.9,0.008501051296820198,0.3191890025735989,0.31015745763340535,0.48308668076109945,0.5018666692708303,0.9218145982760696,0.3116594136929671,0.50242532866824,0.245038416430745,0.5515362885338609,0.54932502596054,0.8254056366387785,0.5975429548286154,0.7475910138206461
Antigua and Barbuda,ATG,23542.4526945578,6.19886698842115,5.1895,77.766,108.880778588808,100.0,98.9227269324043,99.6057190215246,0.4299698,1.0731489,0.6017732,18.0134090909091,19.6982695582914,0.9,0.08104407910052722,0.7259745150963532,0.679985618142254,1.0,0.9832509971041906,0.9956016181945144,0.5845775895397985,0.8824799103624835,0.6641610358821726,0.19072387477617944,0.009345794392523366,0.9203386250566481,0.8534030655115464,0.8154853319425803
Argentina,ARG,13969.7836603737,219.883929014578,7.15,77.543,105.574584297051,100.0,97.0965711084738,92.9912822357176,0.1837479,-0.169745999999999,-0.2513801,10.3212951412107,14.9081737974407,9.2,0.0477804672339959,0.7189755821982301,0.6586826504236727,1.0,0.9548586701229961,0.9218145982760696,0.5292775524323272,0.5956305103311561,0.462313437788322,0.10928066931171392,0.09553478712357216,0.0,0.796598383217918,0.8751919884254444
Armenia,ARM,8556.21406956719,0.269511978259125,12.405,78.319512195122,90.9458714101262,100.0,99.9315721509168,93.6649426520095,-0.3640294,-0.723297299999999,-0.1423943,11.6183158247114,30.5796334750125,9.1,0.028969112006107498,0.7433466886925492,0.5644247300190792,1.0,0.9989361116722183,0.9293295834766022,0.4062498891065607,0.46787565487912913,0.4880983957276945,0.12301337305333632,0.09449636552440291,0.9458762755867413,0.6443369165242083,0.6798534177018268
Aruba,ABW,39498.5941293797,3.117463837096035,5.1895,76.5,124.379366731084,100.0,97.0965711084738,98.8400017151311,0.6567856,1.3302095,1.22006,2.33333333333333,20.0287144500145,8.8,0.1364893152911913,0.6862406628585777,0.7798484494651624,1.0,0.9548586701229961,0.9870596969443195,0.6355191270576264,0.9418072749543674,0.8104415525409407,0.024705061225881036,0.09138110072689513,0.93361018607568,0.8534030655115464,0.8113664665541512
Australia,AUS,64603.9856308464,3.16656665428797,3.942,83.0512195121951,131.931564331055,100.0,99.9696359649334,100.0,1.8090452,0.7932693,1.4704014,17.4213145571644,8.25171746070811,12.3,0.22372684493730838,0.891852975713863,0.8285099035356764,1.0,0.9995279123496573,1.0,0.894310073912639,0.8178861178052785,0.8696698416344154,0.18445484690146272,0.12772585669781933,0.9333987009169501,0.8895488656448296,0.9581620941879843
Austria,AUT,58268.8787651601,2.93791574279375,5.2,81.9951219512195,100.622657775879,100.0,99.9999971947745,99.9721024074429,1.5145106,0.4915979,1.6777399,47.2402653902084,10.9335136815146,36.0,0.20171328370786723,0.8587069848477654,0.6267756535819194,1.0,0.9999999563854963,0.9996887897965698,0.8281592794080305,0.7482629661642101,0.9187240716507348,0.5001744209108439,0.37383177570093457,0.9343834972499608,0.8530988323240519,0.9247345608552687
Azerbaijan,AZE,7283.8499076179,2.21217188919901,5.648,74.576,91.1228035886648,100.0,97.6880841665339,98.9785069136854,0.1661183,-0.1404058,-0.4853711,14.1119540229885,21.7269999756599,1.3,0.024547834357749633,0.6258552507689409,0.5655647660106673,1.0,0.9640552742342167,0.9886047847840678,0.5253180446298535,0.6024019748908698,0.40695349095862776,0.14941572349489268,0.013499480789200416,0.9375092660520821,0.8401182163242836,0.7901980065583699
"Bahamas, The",BHS,39455.4466548546,0.409162489083286,9.049,74.71,79.4858750299258,100.0,97.0965711084738,92.9912822357176,0.7092986,1.0493095,0.2509955,50.9350649350649,18.9393918728687,1.1,0.13633938418624045,0.6300608875776785,0.49058395981657277,1.0,0.9548586701229961,0.9218145982760696,0.6473132479243106,0.8769779828969295,0.5811705156440334,0.5392945276135742,0.011422637590861892,0.9452748027561105,0.7415756381653291,0.8249444433128293
