Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,cluster
Afghanistan,AFG,413.757894705303,-6.60118564073725,13.687,66.289,59.6136016845703,85.3,80.8324374493852,54.4957993646086,-1.9339966,-2.2052112,-1.93548869999999,1.85278199408184,46.0870936659706,20.0,3
Albania,ALB,11377.7757431099,2.21587375089991,10.689,79.776,108.355392456055,100.0,95.1194270680062,99.2997151439025,0.3123437,0.0204668,-0.1185025,28.7919708029197,15.7070036417042,41.9,2
Algeria,DZA,5752.99076651465,4.04611455313434,11.655,76.475,105.164131811213,100.0,92.4200285933986,85.9064861325463,-0.2511914,-0.6935882,-0.6967772,0.830314224054683,25.5526558310447,0.1,3
American Samoa,ASM,18017.4589383973,3.117463837096035,5.1895,72.992,92.65956406180274,100.0,100.0,62.119697982607,0.767382,1.2530285,1.0865813,85.2,6.71514739512663,0.4,2
Andorra,AND,49303.6491674336,3.117463837096035,5.1895,84.188,101.923820495605,100.0,100.0,100.0,1.1590368,1.5437957,1.4099048,34.0425531914894,9.08028059086901,18.7,1
Angola,AGO,2665.87444776753,28.2404948915772,14.02,64.805,51.4839046246776,51.1,67.9607422242112,92.9912822357176,-0.785190899999999,-0.5735964,-1.1697408,52.0912696719339,25.1452381976267,52.9,0
Antigua and Barbuda,ATG,23542.4526945578,6.19886698842115,5.1895,77.766,108.880778588808,100.0,98.9227269324043,99.6057190215246,0.4299698,1.0731489,0.6017732,18.0134090909091,19.6982695582914,0.9,1
Argentina,ARG,13969.7836603737,219.883929014578,7.15,77.543,105.574584297051,100.0,97.0965711084738,92.9912822357176,0.1837479,-0.169745999999999,-0.2513801,10.3212951412107,14.9081737974407,9.2,2
Armenia,ARM,8556.21406956719,0.269511978259125,12.405,78.319512195122,90.9458714101262,100.0,99.9315721509168,93.6649426520095,-0.3640294,-0.723297299999999,-0.1423943,11.6183158247114,30.5796334750125,9.1,3
Aruba,ABW,39498.5941293797,3.117463837096035,5.1895,76.5,124.379366731084,100.0,97.0965711084738,98.8400017151311,0.6567856,1.3302095,1.22006,2.33333333333333,20.0287144500145,8.8,1
Australia,AUS,64603.9856308464,3.16656665428797,3.942,83.0512195121951,131.931564331055,100.0,99.9696359649334,100.0,1.8090452,0.7932693,1.4704014,17.4213145571644,8.25171746070811,12.3,1
Austria,AUT,58268.8787651601,2.93791574279375,5.2,81.9951219512195,100.622657775879,100.0,99.9999971947745,99.9721024074429,1.5145106,0.4915979,1.6777399,47.2402653902084,10.9335136815146,36.0,1
Azerbaijan,AZE,7283.8499076179,2.21217188919901,5.648,74.576,91.1228035886648,100.0,97.6880841665339,98.9785069136854,0.1661183,-0.1404058,-0.4853711,14.1119540229885,21.7269999756599,1.3,2
"Bahamas, The",BHS,39455.4466548546,0.409162489083286,9.049,74.71,79.4858750299258,100.0,97.0965711084738,92.9912822357176,0.7092986,1.0493095,0.2509955,50.9350649350649,18.9393918728687,1.1,2
Bahrain,BHR,29653.5682731534,0.919635459817651,1.084,81.423,98.8139181413527,100.0,99.9198990209829,100.0,0.6002525,-0.2758672,0.1679373,0.95,58.4950629834781,0.0,1
Bangladesh,BGD,2593.41611680774,10.4657482763412,3.635,74.93,64.2997191043961,99.5,98.7825421934741,67.6171751221237,-0.618974599999999,-1.46295089999999,-0.9600594,14.4899215263887,42.3813762359965,25.0,3
Barbados,BRB,26544.8707282621,1.44643664306159,6.448,76.332,104.371182990274,100.0,99.1626347450814,98.0924623115578,0.60457,1.2722219,0.7277751,14.6511627906977,23.7309657842996,5.5,1
Belarus,BLR,8317.63399913792,5.78531910427998,3.458,74.3653414634147,94.7902702871216,100.0,99.8924920429612,99.7473526999237,-0.7015463,-0.3773003,-1.2305997,43.4080686559958,14.6089903841381,8.2,2
Belgium,BEL,56614.5679499036,3.14349136500041,5.7,82.3,142.960266113281,100.0,100.0,99.486220664134,1.1947395,0.1214526,1.282799,22.604446776415,11.2160664677018,11.7,1
Belize,BLZ,7681.24400583113,3.28955985952768,8.698,73.739,86.4571583269413,99.6,94.8473253067341,84.3017658171591,-0.129095,0.7847219,-0.39715,54.5186321788689,28.6518070195516,30.8,2
Benin,BEN,1485.38018885134,1.16093089640415,1.637,60.961,43.5606498718262,57.0,69.5868397867067,22.248968702791,-0.1854211,-0.4030099,-0.4124793,26.4734835047889,51.0478241974862,54.5,0
