Country_slqi,Country Code,slqi_rank,slqi_score,economic_score,health_education_score,infrastructure_score,governance_score,environment_score,Country_for_merge,Country_hdi,hdi_rank,hdi_2023
Finland,FIN,2,0.8782549198055773,0.6281996439813596,0.8826772140807613,0.9979471775209284,0.907696374376242,0.7672878784699876,Finland,Finland,12.0,0.948
Sweden,SWE,3,0.8696938085082676,0.6309719178031962,0.8761685253379705,0.9940868876228184,0.8636648933312645,0.7731350589334776,Sweden,Sweden,5.0,0.959
Liechtenstein,LIE,4,0.8663566231694185,0.8349276037212744,0.8356676355227937,0.9998140758306217,0.9329303382336086,0.6151986577081686,Liechtenstein,Liechtenstein,17.0,0.938
Norway,NOR,5,0.8472820313231353,0.7073875772232259,0.8113966653421449,0.9927379871886112,0.9094100517094502,0.6592758005677901,Norway,Norway,2.0,0.97
Iceland,ISL,6,0.8307698880989371,0.7064951960064166,0.7822286189499138,0.9954560202277222,0.8925546664452302,0.6195451785214677,Iceland,Iceland,1.0,0.972
Denmark,DNK,7,0.8281701109971984,0.6785639781876428,0.8273578280464431,0.9985022910052688,0.9086266026246798,0.5084112471281245,Denmark,Denmark,4.0,0.962
Luxembourg,LUX,8,0.8228556467967052,0.7448469072144773,0.7872002474035497,0.9910800050331569,0.9223930208306846,0.5101861814642855,Luxembourg,Luxembourg,25.0,0.922
New Zealand,NZL,9,0.8217808333168185,0.6571858708047871,0.78681280664829,1.0,0.906661194383901,0.5601281672284509,New Zealand,New Zealand,17.0,0.938
Switzerland,CHE,10,0.8215509223093913,0.727002502776541,0.7831919538870857,0.9996276550575036,0.9005047542422777,0.5261938414134599,Switzerland,Switzerland,2.0,0.97
Japan,JPN,11,0.8204156854510731,0.6595659246589713,0.7777194559875117,0.9955559434894048,0.9109836794009448,0.5721928082130631,Japan,Japan,23.0,0.925
Australia,AUS,12,0.8188401450626797,0.6822248038330292,0.8601814396247698,0.9998426374498858,0.8606220111174444,0.4234475992624221,Australia,Australia,7.0,0.958
Netherlands,NLD,13,0.8099841765339005,0.6876803282713801,0.8611362752950883,0.9912863624378138,0.8469128017867642,0.3896828807925156,Netherlands,Netherlands,8.0,0.955
Belgium,BEL,14,0.8065316109596874,0.6560248071236104,0.8839236902518355,0.998089520074706,0.7481540392651101,0.4273470750639823,Belgium,Belgium,10.0,0.951
Andorra,AND,15,0.8045179536401644,0.6525245619352543,0.7813453645507277,1.0,0.8649266527152176,0.5008192678275872,Andorra,Andorra,32.0,0.913
Austria,AUT,16,0.8037921445598899,0.6630652044272933,0.7427413192148424,0.9998962487273554,0.831715439074325,0.5995802524890158,Austria,Austria,22.0,0.93
Ireland,IRL,17,0.8022241460960491,0.7362137505649645,0.8552568963789835,0.9467553081256151,0.8489647615851719,0.4043626363359824,Ireland,Ireland,11.0,0.949
Portugal,PRT,18,0.7994364166755082,0.6176954760028562,0.8123726835938205,0.995040700455307,0.7449938827176407,0.5579584763522543,Portugal,Portugal,40.0,0.89
Singapore,SGP,19,0.7991141828929611,0.7251750806184255,0.7718713525254868,1.0,0.9265008584751326,0.37373426868135,Singapore,Singapore,13.0,0.946
Estonia,EST,20,0.7990792151577216,0.6079617480480696,0.7258741002014312,0.996361424499188,0.8163448047748663,0.6610710815099933,Estonia,Estonia,36.0,0.905
Costa Rica,CRI,21,0.7976537061176991,0.6051464341269287,0.7953236066619223,0.9945396928370176,0.7087613250680201,0.6257724939674759,Costa Rica,Costa Rica,62.0,0.833
Slovenia,SVN,22,0.7965702156728073,0.6511868010932643,0.7698613405442711,0.991515389452225,0.762394707499225,0.5911954029309884,Slovenia,Slovenia,21.0,0.931
Canada,CAN,23,0.7958931384017998,0.6481969698078598,0.7564279042756008,0.9858882923308818,0.8411444313526527,0.5480461182411406,Canada,Canada,16.0,0.939
Spain,ESP,24,0.7888502753256255,0.5768459758114675,0.8301593561773288,0.9993052827058958,0.7046141309381798,0.510894442925229,Spain,Spain,28.0,0.918
"Korea, Rep.",KOR,25,0.7843800573064752,0.6617667463880202,0.7543110184174828,0.998993605878514,0.7968157973620738,0.4845975051637538,Korea (Republic of),Korea (Republic of),20.0,0.937
"Hong Kong SAR, China",HKG,26,0.7842456833268268,0.6813056350554337,0.8171203842695758,0.9807917035296412,0.7919707585789449,0.3863058646311772,"Hong Kong, China (SAR)","Hong Kong, China (SAR)",8.0,0.955
